acc,accuracy,average_response_time,avg_rt,background,batchId,batchTitle,bidi,canvas_backend,clock_backend,color_backend,compensation,componentId,componentPos,componentResultId,componentTitle,coordinates,correct,count_Goodbye_message,count_Instructions_1,count_ParticipantNumber,count_blank500,count_blank500_1,difficulty,count_difficult_loop,count_easy_loop,count_experiment,count_get_input_sequence,count_init_1,count_mind_wandering,count_mind_wandering_1,count_mw_1,count_mw_new_keyboard_response_1,count_new_keyboard_response,count_new_logger,count_new_sequence,count_new_sequence_1,count_new_sketchpad_2,count_number_input,count_osweb,count_process_input,count_shapes,count_shapes_1,count_shapes_new_keyboard_response,count_show_input,cr,datetime,description,disable_garbage_collection,empty_column,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,groupMemberId,groupResultId,height,keyboard_backend,mouse_backend,multichar_response,mw,opensesame_codename,opensesame_version,response,response_Instructions_1,response_mind_wandering,response_numeric,response_mind_wandering_1,response_mw_1,response_mw_new_keyboard_response_1,response_new_keyboard_response,response_new_sketchpad_2,response_number_input,response_shapes_new_keyboard_response,response_time,response_time_Instructions_1,response_time_mind_wandering,response_time_mind_wandering_1,response_time_mw_1,response_time_mw_new_keyboard_response_1,response_time_new_keyboard_response,response_time_new_sketchpad_2,response_time_number_input,response_time_shapes_new_keyboard_response,round_decimals,sampler_backend,sessionid,shapes,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,studyId,studyResultId,studyTitle,subject_nr,subject_parity,time_Instructions_1,time_ParticipantNumber,time_blank500,time_blank500_1,time_difficult_loop,time_easy_loop,time_init_1,time_mind_wandering,time_mind_wandering_1,time_mw_1,time_mw_new_keyboard_response_1,time_new_keyboard_response,time_new_logger,time_new_sketchpad_2,time_number_input,time_process_input,time_shapes,time_shapes_1,time_shapes_new_keyboard_response,time_show_input,title,title_numeric,total_correct,total_response_time,total_responses,uniform_coordinates,width,workerId
0,0,799,799,white,139,Default,no,psycho,psycho,psycho,0,139,1,4647,OSWeb experiment,uniform,0,0,0,0,0,,easy,0,0,0,4,0,0,,,0,,0,0,,0,4,0,4,0,,0,4,,Fri Mar 19 2021 09:26:39 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w1cb,0,osweb,1.3.3,None,enter,,,,,,,,enter,None,816,35148,,,,,,,1269,816,2,psycho,1.62E+12,Circle.jpg,1024,2,48000,-16,experiment,139,6404,Experiment 2,4647,odd,4246,86,39407,,86,86,55,,,,,,41246,,2965,4245,39914,,40428,2965,New experiment,2,0,4796,6,yes,1024,6276
0,0,802,802,white,139,Default,no,psycho,psycho,psycho,0,139,1,4647,OSWeb experiment,uniform,0,0,0,0,1,,easy,0,0,0,4,0,1,,,1,,1,1,,0,4,0,4,1,,1,4,,Fri Mar 19 2021 09:26:39 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w1cb,1,osweb,1.3.3,None,enter,,,,,,,,enter,None,816,35148,,,,,,,1269,816,2,psycho,1.62E+12,Diamond.jpg,1024,2,48000,-16,experiment,139,6404,Experiment 2,4647,odd,4246,86,41274,,86,86,55,,,,,,43110,,2965,4245,41777,,42293,2965,New experiment,2,0,5612,7,yes,1024,6276
13,13,702,702,white,139,Default,no,psycho,psycho,psycho,0,139,1,4647,OSWeb experiment,uniform,1,0,0,0,2,,easy,0,0,0,4,0,2,,,2,,2,2,,0,4,0,4,2,,2,4,s,Fri Mar 19 2021 09:26:39 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w1cb,1,osweb,1.3.3,s,enter,,,,,,,,enter,s,7,35148,,,,,,,1269,7,2,psycho,1.62E+12,Square.jpg,1024,2,48000,-16,experiment,139,6404,Experiment 2,4647,odd,4246,86,43134,,86,86,55,,,,,,44175,,2965,4245,43643,,44158,2965,New experiment,2,1,5619,8,yes,1024,6276
11,11,715,715,white,139,Default,no,psycho,psycho,psycho,0,139,1,4647,OSWeb experiment,uniform,0,0,0,0,3,,easy,0,0,0,4,0,3,,,3,,3,3,,0,4,0,4,3,,3,4,,Fri Mar 19 2021 09:26:39 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w1cb,1,osweb,1.3.3,None,enter,,,,,,,,enter,None,815,35148,,,,,,,1269,815,2,psycho,1.62E+12,Star.jpg,1024,2,48000,-16,experiment,139,6404,Experiment 2,4647,odd,4246,86,44198,,86,86,55,,,,,,46040,,2965,4245,44708,,45224,2965,New experiment,2,1,6434,9,yes,1024,6276
10,10,725,725,white,139,Default,no,psycho,psycho,psycho,0,139,1,4647,OSWeb experiment,uniform,0,0,0,0,4,,easy,0,0,0,4,0,4,,,4,,4,4,,0,4,0,4,4,,4,4,,Fri Mar 19 2021 09:26:39 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w1cb,1,osweb,1.3.3,None,enter,,,,,,,,enter,None,816,35148,,,,,,,1269,816,2,psycho,1.62E+12,Triangle.jpg,1024,2,48000,-16,experiment,139,6404,Experiment 2,4647,odd,4246,86,46061,,86,86,55,,,,,,47905,,2965,4245,46573,,47088,2965,New experiment,2,1,7250,10,yes,1024,6276
9,9,733,733,white,139,Default,no,psycho,psycho,psycho,0,139,1,4647,OSWeb experiment,uniform,0,0,0,0,5,,easy,0,0,0,4,0,5,,,5,,5,5,,0,4,0,4,5,,5,4,,Fri Mar 19 2021 09:26:39 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w1cb,1,osweb,1.3.3,None,enter,,,,,,,,enter,None,816,35148,,,,,,,1269,816,2,psycho,1.62E+12,Circle.jpg,1024,2,48000,-16,experiment,139,6404,Experiment 2,4647,odd,4246,86,47930,,86,86,55,,,,,,49770,,2965,4245,48438,,48953,2965,New experiment,2,1,8066,11,yes,1024,6276
8,8,740,740,white,139,Default,no,psycho,psycho,psycho,0,139,1,4647,OSWeb experiment,uniform,0,0,0,0,6,,easy,0,0,0,4,0,6,,,6,,6,6,,0,4,0,4,6,,6,4,,Fri Mar 19 2021 09:26:39 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w1cb,1,osweb,1.3.3,None,enter,,,,,,,,enter,None,816,35148,,,,,,,1269,816,2,psycho,1.62E+12,Diamond.jpg,1024,2,48000,-16,experiment,139,6404,Experiment 2,4647,odd,4246,86,49793,,86,86,55,,,,,,51635,,2965,4245,50303,,50818,2965,New experiment,2,1,8882,12,yes,1024,6276
8,8,746,746,white,139,Default,no,psycho,psycho,psycho,0,139,1,4647,OSWeb experiment,uniform,0,0,0,0,7,,easy,0,0,0,4,0,7,,,7,,7,7,,0,4,0,4,7,,7,4,s,Fri Mar 19 2021 09:26:39 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w1cb,1,osweb,1.3.3,None,enter,,,,,,,,enter,None,816,35148,,,,,,,1269,816,2,psycho,1.62E+12,Square.jpg,1024,2,48000,-16,experiment,139,6404,Experiment 2,4647,odd,4246,86,51662,,86,86,55,,,,,,53500,,2965,4245,52168,,52683,2965,New experiment,2,1,9698,13,yes,1024,6276
7,7,751,751,white,139,Default,no,psycho,psycho,psycho,0,139,1,4647,OSWeb experiment,uniform,0,0,0,0,8,,easy,0,0,0,4,0,8,,,8,,8,8,,0,4,0,4,8,,8,4,,Fri Mar 19 2021 09:26:39 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w1cb,1,osweb,1.3.3,None,enter,,,,,,,,enter,None,817,35148,,,,,,,1269,817,2,psycho,1.62E+12,Star.jpg,1024,2,48000,-16,experiment,139,6404,Experiment 2,4647,odd,4246,86,53569,,86,86,55,,,,,,55415,,2965,4245,54083,,54598,2965,New experiment,2,1,10515,14,yes,1024,6276
7,7,755,755,white,139,Default,no,psycho,psycho,psycho,0,139,1,4647,OSWeb experiment,uniform,0,0,0,0,9,,easy,0,0,0,4,0,9,,,9,,9,9,,0,4,0,4,9,,9,4,,Fri Mar 19 2021 09:26:39 GMT+0000 (Greenwich Mean Time),The main experiment item,yes,,/Users/hannahwindmill/Desktop/OneDrive/PhD/Teaching/experiments/Z4,no,mono,no,18,no,black,no,no,None,null,768,psycho,psycho,0w1cb,1,osweb,1.3.3,None,enter,,,,,,,,enter,None,816,35148,,,,,,,1269,816,2,psycho,1.62E+12,Triangle.jpg,1024,2,48000,-16,experiment,139,6404,Experiment 2,4647,odd,4246,86,55439,,86,86,55,,,,,,57279,,2965,4245,55947,,56463,2965,New experiment,2,1,11331,15,yes,1024,6276
